,comments,sentiments
0,I myself played cricket from grade 5 to 9 passionately but after realizing that cricket won't feed my family in future I left playing and it was such a sad decision  for me to do that. I knew dark secrets of  Nepal cricket during that period . It's been 3-4 years and I really miss it.,1
1,"Love your content bro, Corruption have had destroyed our country development and economy as well as many sectors; you are trying to show us corrupted systems of each sectors from various videos, kudos to you  ",1
2,Corruption has ruined our country and you are doing good work by exposing them,1
3,The effort you’re putting to research everything about your content is COMMENDABLE!,1
4,"My question is, are you not getting any kind of response from people of whom you make videos or the topic? The research behind your work Is absolutely courageous and I wish, you will uncover so many topics that we are blind on for ages.",1
5,"This man is tooo good. Level of dedication 
Now Nepal needs a geopolitical channel like bharat dahal with these level of voices .",1
6,"well researched video , never seen any nepali youtuber doing this . keep grinding brother love from Darjeeling",1
7,Not only  football  but Nepal  whole  country  is ruined  by corruption  by politicians  and bureaucracy. Corruption is cancer  for developing country,1
8,The quality content in this whole YouTube ️,1
9,I always used to be angry and blame on players when Nepal lose any sports. But from now on will never be.,1
10,"dedication n effort 
you put to make this videos are amazing ,happy to see quality content n proper research , keep up the good work .",1
11,There are many talented players in Nepal football community 🇳🇵They all need our support ,1
12,"Not just nepali football, but the whole Nepal",1
13,"""When you stop chasing the wrong things, you give the right things a chance to catch you."" --Lolly Daskal",1
14,This is my favourite Nepali channel. Hats off to the content and the case studies.,1
15,"I was trying to link  the ANFA corruption and FIFA corruption after watching Netflix docuseries and this clearly shows that, thank you for the video.",1
16,The Research you put into any topic for video is really commendable.  Keep growing!,1
17,Corruption is the Main issues in Nepal 🇳🇵🇳🇵,1
18,"the research your team has done was appericated and your videos will  be milestone to know about nepalese football history 
About ANFA

About Ganesh Thapa as a player, as an Anfa President and what kind of personality he carried and at last about corruption 

About Goal project

which fund was used to develop infrastructure? 

why nepal football see ups and downs in short period of time?

How politics and corruption ruined our football?
 
@thenepalicomment your videos will have big impact in neplese football in coming days ️",1
19,"A true content creator ️

Huge respect ️",1
20,In these floods of nepalese content creators  u r one of the few whose content is genuine informative  in meaningful keep up the good work bhai n hope ur channel will do grow even more all the best,1
21,"Bro I found your channel just today. Your video content is just amazing bro. Make a video on why Graham Roberts left our country if you have time. I heard he was forced to leave, by many including the coaches from Tribhuvan Army Club.",1
22,"I really admire your hard work and sincere effort. Its good to know the fact, it really make us sad. Once, Ganesh Thapa made money by corruption could have okay , if he would have improved the quality of football in Nepal. Paisa banau but kaam pani ta gara kukur ho.",1
23,Always excited to watch your content. Great research keep it up ,1
24,Thank you for exposing the dark reality of nepali football corruption.,1
25,"good to see Gnesh Thapa in Paljor Stadium, Gangtok when he played in Governors` Gold Cup , Early eighties",1
26,Quality content as always ,1
27,Insane research bro.. You have been improving every next video. Keep it up. And thanks for information.,1
28,Quality content brother! A1 investigative report of yours!!,1
29,"Your research is on next level, it gives great insights.",1
30,He deserve 100k congrats brother,1
31,"Thanks you bro for all the information. Seeing Nepal in World Cup is a dream that can't be true. But, hope for the best.",1
32,Our  politicians have no love for our country  and yet people vote for same old parties and here we are common Neplese expressing our frustration यो भएन त्यो भएन blah blah. WE NEPLESE DESERVE TO BE IN LAST RANKING OF FIFA.,1
33,"Great content and well
Presented.
Bravo  ",1
34,"Corruption  distroy country not only football
It's happen again and again in Nepal",1
35,Your contents are amazing. Love the way you how you elaborate your topic. Thumbs up bro!,1
36,"Love and Respect to Your Videos️
Keep Shinning️",1
37,"I appreciate your hard work and courage to make video on such topic

Can you please make about cricket too.. Mulpani ground, tanka anbuhang.. Player dispute etc.",1
38,"when Dipesh dai said ""We went down a rabbit hole for the new topic"" He meant it. Amazing Research . Also 'm expecting eSports Content future ma from TNC hai",1
39,As you said ganesh thapa was not found guilty by akthiyar but we all know he ruined the football game just building some structures under anfa but never was after development and uplifting the players. He ruled anfa almost for 2 decade just for his benefits. May be he was not found guilty because the corruption was made almost on international transactions and most important thing was the political support to cover his activities. I don't think nepal will be corruption free country never ever though we all hope for it. I appreciate for the content you make for revealing such faces. Keep going. Huge love and support for you bro.,1
40,"Ekdam mehenet ,dedicated and well researched ..
Thanks brother for being here",1
41,Your research skill is legendary ,1
42,"Can you make a video on Resham Chaudary, a criminal turned politician and the person behind tikapur incident, his political party which is huge in kailali and about his popularity in that region.",1
43,"Very well uncovered, thank you.",1
44,"More power to you bro
You are doing good ",1
