,comments,sentiments
0,"दुर्लभ क्लिपहरू खोजेर राम्रो प्रस्तुति सहित भिडियो बनाउनु भएको रहेछ। त्यसका लागि धन्यवाद। मेरो आफ्नै अनुसन्धान पनि यी विषय ओरीपरि नै घुमेकोले यो भिडियोमा चाहिँ केही महत्त्वपूर्ण विषयहरू छुटेका रहेछन् भन्ने लाग्यो। जस्तै:        
 
१- भिडियोमा भनिएजस्तै कटवाल एकदम महत्त्वाकाङ्क्षी त थिए नै उनलाई नेपालमा भइरहेको राजनैतिक परिवर्तन पटक्कै मन परेको थिएन। जङ्गी अड्डामा बसेर उनले अनेक (अ)राजनैतिक क्रियाकलाप गरिरहेका थिए। मधेसी समुदायलाई पनि सेनामा प्रवेश दिने सरकारको तयारीको उनले विरोध गरेका थिए। अन्तरिम संविधानमा के-के राख्नु पर्छ र पर्दैन भनेर सरकारलाई लिस्ट नै पठाइदिएका थिए। एक जना माओवादी सेना पनि नेपाली सेनामा समायोजन गर्नुहुन्न भन्ने कटवालको अति अनुदार मत थियो। 

२- अप्रिल २००९ मा रिटायर हुनै लागेका आठ जना बिग्रेडियर जनरलहरुलाई म्याद थप्न कटवालले प्रस्ताव गरेका थिए। उनीहरूको म्याद थप्नु वा नथप्नु सरकारको पूर्ण अधिकारको विषय थियो। सरकारले म्याद नथपेपछि उनले ती जनरलहरूलाई जन निर्वाचित सरकारको निर्णय मान्न बाध्य गराउनुको साटो 'सरकारको निर्णयको मतलब नगरी काममा फर्कनु' भनेर 'थमौती' दिएका थिए। जुन आफैँमा गर्न नहुने काम थियो।

३- रामबहादुर थापा 'बादल' रक्षामन्त्री भैसकेपछि उनले सम्बन्ध सुधार्न केही प्रयास गरेका थिए, तर त्यो सफल हुन सकेन। पछि उनले रक्षा मन्त्रीको रूपमा कटवाललाई स्पष्टीकरण पनि सोधे। तर कटवालले त्यो स्पष्टीकरणको जवाफ कहिल्यै फर्काएनन्। माओवादी नेतृत्वको त्यो सरकारलाई कटवालले कुनै टेरपुछर नलाएको घटनाक्रमले देखाउँछ। 

४- जब प्रचण्ड सरकारले कटवाललाई बर्खास्त गर्ने निर्णय गर्‍यो, सोझो बाटो त सर्वोच्च अदालत जानु हुन्थ्यो, तर कटवालले त्यसो गरेनन्। उनले जंगिअड्डाबाट भारततिर र अन्य विदेशी शक्तिकेन्द्रतिर सम्पर्क गर्न थाले (जुन उनले आफ्नो आत्मकथा मै स्वीकार गरेका छन्।) कटवालको माओवादी विरोधी छवि भारतलाई पहिलेदेखि नै मन परेको थियो। ०६४ सालपछि जसरी माओवादीहरू नेपालको राजनीतिमा पहिलो शक्तिको रूपमा उदाएका थिए, त्यो भारतलाई रुचिरहेको थिएन। पहिलो शक्ति बनेपछि माओवादीहरूको पनि अति आत्मविश्वास र महत्त्वाकाङ्क्षी चरित्र प्रकट भएको थियो। सेनापति प्रकरणमार्फत माओवादीलाई 'सबक' सिकाउने अवसर भारतले प्राप्त गरेको थियो, जसको उसले भरपुर प्रयोग गर्‍यो। 

५- त्यो बेलाका भारतीय सेना प्रमुख कटवालका सहपाठी थिए र भारतीय राज्य संयन्त्रसंग उनको राम्रो उठबस थियो। भारतकै आडमा कटवालले नेपाली सरकारको उपेक्षा गरेका थिए। जब प्रचण्डले कटवाललाई बर्खास्त गरे, नेपालका लागि भारतीय राजदूत राकेश सुद ले २४ घण्टामा २ चोटि राष्ट्रपति यादवलाई भेटेर त्यो निर्णय खारेज गर्न दबाब दिएका थिए। त्यो बेलाका भारतीय बिदेशमन्त्री प्रणव मुखर्जीले त राष्ट्रपति यादवलाई फोन गरेरै कटवालको बर्खास्तकीको निर्णय राष्ट्रपतिले सदर गरे पनि कटवालले कुनै हालतमा जंगिअड्डा छोडेर नहिँड्ने धम्की दिएका थिए भनेर भनिन्छ। सन् २०१७ मा दिएको एक अन्तर्वार्तामा पूर्व राष्ट्रपति यादव भन्छन्:  ""एउटा विदेशी शक्तिले मलाई जनरल कटवाललाई स्टे अर्डर दिने र देशमा सङ्कटकाल घोषणा पनि गरोस् भन्ने चाहन्थे। तर, मैले सङ्कटकाल घोषणा गर्न अस्वीकार गरेँ।"" 

६- माओवादीहरू कटवाललाई बर्खास्त गरेर नेपालमा अधिनायकवाद लागु गर्न चाहन्छन् भनेर जुन भाष्य निर्माण गरियो, त्यसमा पनि खासै सत्यता छैन। काँग्रेस, एमालेजस्ता पार्टीहरू, नेपाली सेनाको त्यत्रो शक्ति र प्रतिकुल विदेशी परिवेशका बिच प्रचण्डको अधिनायकवाद ५ दिन पनि टिक्दैन भन्ने प्रचण्डलाई थाहा नहुने कुरा थिएन। २४० वर्षको राजतन्त्र फालेको १ वर्षमा नेपाली जनताले माओवादी अधिनायकवाद स्वीकार गर्थे भनेर सोच्नु पनि हास्यास्पद हो। माओवादीले पक्कै पनि सेना समायोजन गर्दा आफ्ना केही धेरै लडाकुहरू घुसाउन सक्थ्यो, तर त्यो भन्दा बढि खासै केही हुन्थ्यो जस्तो चाहिँ लाग्दैन। अधिनायकवाद लाद्ने प्रयास गरेको भए कहिले नउठ्ने गरि माओवादीहरु नै सिद्दिन्थे।   

७- कटवालको व्यापक असहयोगका बाबाजुत पनि प्रचण्डले उनलाई ३-४ महिना थप झेलेको भए कटवाल त रिटायर हुन्थे नै, प्रचण्डको सरकार पनि बच्थ्यो। संवैधानिक रूपमा सही भए पनि व्यवहारिक र राजनैतिक रूपमा प्रचण्डको त्यो काँचो निर्णय थियो।  कटवाललाई जसरी पनि हटाउनुपर्छ भन्नेमा त्यो बेलाको माओवादी पार्टीमा अलिक हार्डलाइनर मानिने मोहन वैद्य 'किरण', नेत्र विक्रम चन्द 'विप्लव', र रामबहादुर थापा 'बादल' लगायत थिए।",1
1,I see potential in this channel to become the most trusted youtube channel of Nepal.,1
2,Past 2-3 years i was only watching dhruv rathee to gain such kind of knowledge on any particular topics but he is Indian . He explains Indian politics on majority. I never found  any from my country then i saw this channel. Really brother you explained it very clearly.️️ I am addicted on you now.,1
3,"This is True rise of Genuine Content creators in Nepal, hats off bro, keep it up cause Young Generation needs to be aware of this types of incident",1
4,"Very well presented !!
This is what new generation Nepali youths are expected to be.

Hats off to your research and dedication ",1
5,"Amazing synthesis of the whole situation you guys ! I was part of the Maoist student movement back then , we were all infuriated with Rumngad and President back then . But in hindsight, Nepal avoided a big disaster.",1
6,Thank you for portraying history to the youth who are devoid and confused about the political history of Nepal. You are doing a wonderful job,1
7,"Thank you brother 
You’re providing alot of knowledge to learn about our own country🇳🇵
Really happy to see content creators like you",1
8,"US : Johnny Harris
India : Soch, Dhruv Rathee
Nepal : The Nepali Comment
I really appreciate your amazing content. I hope this will help you to keep going and to keep growing",1
9,"Most underrated YouTuber of Nepal.. 
Huge respect to you sir ️",1
