,comments,sentiments
0,This video is very informative. I had seen the victims protest at Maitighar for almost 2 months. They protested all day regardless of the weather. At that time I wondered what 'Meter Byaj' was. Thanks for making this video and presenting the topic of Meter Byaj to the Nepali people.,1
1,A bitter truth everyone needs to know.. Thanks for making this video brother !!,1
2,"My father lost all his earning because of this, a guy gave my dad 4 lakh and we've already paid him more than 40 lakh and he still threaten us . My mom went to jail several times even though she wasn't a criminal. There's no justice.",1
3,Your insights on these ground reality of Nepal and its common people are eye opener to me. Thanks for these fruitful knowledge and insights. <3,1
4,"I really appreciate how respectful you are to the people.
This content should go mainstream for mass information.",1
5,I'm noticing that this channel's content is getting better and better every day. Keep it up brother ,1
6,Love your content. Thanks for bringing these issue to light.,1
7,Thanks for your effort and helping us to know many things about such issues.,1
8,"I saw these people on protest  for about a month on my way to college every single day, didn't understand the issue then. Thanks for bringing this to light.",1
9,"The Nepali comment truly deserve much more attention and the spotlight as he is showing the bitter truth as well as he does a deep research, whereas other just spit some shit on there videos get millions of views and have a bad influence on the people , he is doing the right thing with proper research and great quality video , he really deserves much more attention  hope this continues in the future too ",1
10,"Great information,. I appreciate your researching ability
Big fan bro, you are my inspiration ",1
11,"Quality, subject matter and intent behind this video  ",1
12,"At last you said right. Those people who take loans are also Fraud sometimes. A guy from our village took around 3 lakhs from my family and ran away. Our family was taking 7% interest as he was our relative. We didn't harm either of his family. Instead my father forgave him as that guy was his close person So called ""MAMA""",1
13,"Your research is amazing brother.
Keep it up , Best wishes️",1
14,"Sir, Will China Do same with Nepal as of Sri Lanka... As China is having more influence... It will be good ? Please make video on this!!! 
Love u sir ️️",1
15,"This man is dope 
His content are great 
Hats off",1
16,Hatsoff to the team for the content,1
17,Same as ours Even though we are going to sell our house at 1.5cr we cannot pay the loan,1
18,"Thank  u brother for such good information that everybody needs to know. 
  Hats off brother! ",1
19,"Adding CC Eng sub would help this video reach globally.
Cheers from Mumbai.",1
20,Most underrated content channel  in Nepal and good luck in future .,1
21,"Discover more ,your content is genuine and trustworthy.",1
22,"Hey, I am from India and really like the quality of your videos. But I am not able to understand anything. Can you please add captions?

Thank you for all your hardwork. ",1
23,I m loving this channel for infinity reasons ♡,1
24,"I am in love with your content bro,
 Keep going, if any guy who in injustice get justice from your video, that will be our success ️",1
25,This is what we need ground reality  real Nepal youtube community lies here and in esport channel not in moto vlogging and online patrika where they all work for money. Respect your content bro,1
26,bro... I think you deserve. more than you are,1
27,"Thankyou brother 
For raising this problem towards public. 
This has bee stopped As soon as possible.",1
28,love your work,1
29,I hope justice will be served. जै नेपाल 🇳🇵,1
30,Great explanation ️,1
31,Keep up the good work bro️,1
32,9:34 Ekdam sahi kuro daju. Nepal ma paisa ko value nai xaina. If we earn/spend the same amount of money in other countries (for eg : India) our lifestyle would've been so much different.,1
33,"Very much informative 
Thank you ",1
34,Such a nice content ,1
35,Huge respect.,1
