,comments,sentiments
0,"Seeing this type of content gives me hope
Someday soon we ll be doing good as a country
Cheers  brother",1
1,this man's a gem.. this kind of video should reach each and everyone.,1
2,Politicians of Nepal are in the pockets of Indian lawmakers,1
3,we need these kinda informative videos. People tend to know all sorts of things about foreign countries but they don't really know what's happening in here. Kudos to the team,1
4,I think this video gone be most important video for Nepalese️,1
5,One of the best Nepali youtuberand the way you describe every topic is just wow....and  this one is also such a great video for Nepali citizen,1
6,He never fails to deliver content man...So informative.,1
7,"The proper selection of the topic and explanation of it is just brilliant. Quality content creator, hats off bro ",1
8,"Apart from all the research that has gone behind this video, the animation is simply * top notch!* Keep it going man.",1
9,"Bro your research and hardwork for all these awesome videos deserves a lot of respect and recognition, hope you get more and more subscribers and viewers.",1
10,Hats off to your efforts on educating the Nepalese through your videos.,1
11,"whilst I don't always agree with your content, I must say that this is something I can stand by and something that all us voters must fight for! #electoralreform",1
12,Thank you so much brother for providing such great content in every video.,1
13,I hope this video will reach to all the Nepalese  Great content and research ,1
14,So sir how does it feel to carry whole Nepali YouTube community on your back?,1
15,"This channel is amazing. Its like the nepalese Vox. The way the editing is done, along with the score in the background. It feels like watching a documentary in history channel. His videos on the Nepalese civil war has to be one of the best youtube series i have watched recently. Keep the videos coming . Best Wishes !!",1
16,very informative video! keep making more! appreciate your hardwork BTS !,1
17,You should have made this longer and more in-depth. The audience demands it brother.,1
18,"This is one quality content which  i  rarely can find and expect from nepali youtubers. Love u brother . keep on going, u deserve it",1
19,"Believe me brother , this channel soon will touch the sky in terms of views.",1
20,Animation is so good! I am just soaked in and can’t even pay attention to the words! ,1
21,very informative video brother. Your channel is getting better and better everyday. The topic u choose is educational. Keep going,1
22,thank you so much for all your dedication and hard work on research and educating us,1
23,This man need to get more views because videos like this educate everyone which is necessary,1
24,"Your content quality, editing and research is one of the best in whole Youtube.",1
25,Too informative content ️...You need to rise more️and you deserve more!!,1
26,"Very good content as always. And contemporary as well.
However, compared to your previous videos I found this one a little less organised and lacking a flow. May be I felt so because earlier videos were excellent in doing that. 
Keep up the good work.
Hope to see more content from you.",1
27,Thank you for this content .We Nepal has very fragile system of election process. Brother le afno face hide garna parne dekihinxa yaha nepal ma je panu huna sakxa ..Take care bro .Your well wisher,1
28,I like this guy videos he always makes the best content videos keep it up we needs this types of videos god bless you Brother,1
29,Finally i can say someone is admirable and proper content creator keep going ️,1
30,"The video is great as always,well-researched,keep going brother!!! And may i know what software you use for editing videos? The animations were top-notch.",1
31,"How deep the research is! Katti Naya Kura sikiyo. Law students lai euta efficient material pani hune vayo. 
Absolute respect to this human!",1
32,Appreciate your effort and consistency.. Such a pure content,1
33,Hatss off to your research bro !! Appreciated.,1
34,Thank you for bringing new insights on the election.,1
35,Now this channel has become my favorite ️,1
36,"Yes,The Content is super. We all Nepali should appreciate it. Also, We viewers should add our opinions, feedback and have some discussion on comment section to the related topic. It would massively boost the assessment and understanding of the audience.

Election is rigged and most population barely aware of this election process. It would be amazing if you'd make an explained video of what this election is about? 

How it dictates countries future?
Etc.",1
37,"Now it's the turn of the educated one
Share this as much as possible",1
38,Really appreciate this type content is really needed love you man,1
39,Bro is doing great job. Keep on working. I wish ur channel will get millions of subscribers and supporters.,1
40,I have no words for your work love it,1
41,"Addition: As per the preliminary report of the 2021 census, 2.1 million Nepalese (11% of total voters registered) are working abroad who are eligible to vote but denied voting despite the Supreme Court issuance of a directive ordering the government to draft a law enabling Nepalese abroad to vote (2017).These people did not have or will not have representation, and their fundamental right to vote has been or will be denied. Does our election truly reflect the voice of the people?....",1
42,Need more videos like these ,1
43,"Everything about your video, voice, music and editing are always Intense.",1
44,"Thanks to god we have now lots of educated youtubers like you, saugat gyawali, etc , Great video 
राइट टु रिजेक्ट अप्सन हुन निक्कै नै जरूरी छ, कसैले त यो विषयमा दमदार तरिका ले आवाज उठाउनु पर्यो ,  युवा हरु घटाइदैन छन्।वृद्ध र  बच्चा हरु बढ्दैछन् मेन पावर को कमी हुँदैछ अब samayyy धेरै कम छ आउने 10 वर्ष भोट नेपाल लाई जसरी पनि बिजनेस, फ्याक्ट्री, एक्सपोर्ट सेक्टर हरुमा हरेक क्षेत्रमा देभलप हुन जरुरी छ, नत्र पछी विश्वकै राम्रो नेता नै आएपनि नेपाली लाई गरिबी को चपेटा मा जान  बाट कसैले बचाउन सक्दै । 
आउने मंसिर मा जसरी पनि चोर घुसखोर बुढो हरु पार्टी र तिनी हरुको पार्टी लाई हटाउनै पर्यो मात्र देशले निक्कै नै खतरनाक मोड लिने छ अहिले पनि समय छ झोले न बनौ  आउने पुस्ताको जिन्दगी बर्बाद न गरौं। अब नयाँ  युवा लाई मौका दिनु पर्यो ।",1
45,Dai each piece of content you provide blows up my mind. Much more love and grow beyond the limit.,1
46,Keep up man looking forward for more information ️,1
47,very informative & to the point .. great content bro.,1
48,Hats off to your research bro!!!,1
49,"after watching some of your videos you have earned your subscription, cheers brother",1
50,I hope this video act as a whistleblower to nepalese at such upcoming election time.,1
51,I love your content bro... whenever i see your notification i instantly click n watch it....lots of love from Darjeeling ️️,1
52,"Dude, I wanna work for your projects. I mean all your videos are too cool.",1
53,Your videos are very informative.please extend the duration period of videos.,1
54,Let’s share this video!! We can educate nepali!,1
55,You are doing great bro!Hope nepalese will understand all these thing and vote a perfect candidate who rise voice  on behalf of right to reject and right to recall.,1
56,"Have been watching each n every videos of yours...
Ur contents are damn ️‍️‍",1
57,You are the best creator keep going bro ️ thank you so much ️,1
58,Thank you for being in YouTube ,1
59,Keep providing  these types of contents .,1
60,"Now its time to change the whole Nepal by giving the vote for proper politician not by party but by their working agendas.
Hope next election will change the map of the  nepal.",1
61,"Another huge problem is the exclusion of nepali living abroad. It is a very systematic, thought-provoking move by political parties that are in power. The solution could be at least letting them vote from embassies of respective country or even online voting.",1
