,comments,sentiments
0,The main reason for downfall/situation of Government school is the politics inside them. There is extreme groupism and unions creating chaos in its functioning.,1
1,"I was in private school, we were forced to study hard to get marks... we were often humilated and bullied ..they did not teach us to get knowledge or be good humans, they teach us how to get marks in SLC exam so that repulation of school will be good. There are so many things but I feel uncomfortable to share in public... ..",1
2,"The education system of Nepal had bugged me for a very long time, great content. 

I think you should also open a Patreon type ko page to accept support/donation from your viewers that way you won't have to rely on sponsors. 

The reason I say is hunata I hope you'll only accept true companies as sponsors but just lack of funding ley garda jpt kura sponsor garna naparos bhanera.",1
3,"Me and my friend back in days paid Rs 500 per month for class 10. Now his son studies in primary and pays Rs 60000+ per month, yes he can afford but its not about affordability its about branding or mute bragging. Just like carring Hermes or Chanel bags, paying only for logo. 
Only solution is stepping up the level of government schools which seems highly unlikely looking at the trend of nepali politcs. 
Keep up making contents brother ",1
4,"As a young private school teacher, I have always not understood the way the whole education system of either private or government run schools. There was this one student who suddenly said, "" See, we are buying education."" while I was distributing the bills in the classroom. I was left speechless. Unlike those who go to abroad for further education, I've chosen to become a teacher and I'm pursuing this career with loyalty and diligence. I come from a government school and I know there is students in rural areas of Nepal who really, genuinely need good teachers. I am still woking on becoming the best at what I'm doing. At the same time, I hope there will be better policies and system regarding the education by those in power and authority. Just imagine, how amazing it would be if only the education sector in Nepal was just practical!",1
5,Yes yes yes this is one of the most needed topic to be talked about. Kudos to you dai for bringing this up. Private schools aren't what we see. There is high level of black money invested. Te**rism money invested. Appreciation to this team,1
6,Quality contents to the point! And I think the root problem is corruption where private expensive and luxury school owners and shareholders do anything to degrage government schools! Education and health instituions are doing bloody business here,1
7,"Awareness is the first step to change. Thanks for the good content. 
Those parents who can afford, it's a subject of pride to them. Just to satisfy their ego and maintain their social position typically every layer of society does that. The vulnerable ones are the low income families who can't find affordable good education institutions. How can it be solved? What Parents and Students can do? It's not like committees for change weren't formed or they haven't tried.  How can it be changed? Who can change ? Unless the Governing Bodies are out of influence of national politics, greedy business minded individuals and have dedicated individuals for betterment of education, academic institutions will continue to stress parents (It's easy to say and everybody knows it).  Are there any ways to change the Education System without involving government sold out to corruption and greed?  Share your practical opinion please.",1
8,"This video, while it is only etching on the surface of the problems with education in Nepal, got me wondering about a lot of things. As an educator myself, I have always been focused on the issues Nepali schools, public and private alike, have had in terms of what is the purpose of education after all, but this video was a good reflection of the businessworld of schooling. Something that haunts me about prominent private schools in Nepal is their connections with some of Nepal's big political leaders and their vested interests that keep public education from improving.",1
9,"Very well researched video I'm glad someone made a video regarding it, this is also one of the biggest factors why people tend to move to abroad, it cost more money to raise a kid here than  in first world countries, how will a normal individual raise a child here let alone provide good education(where public schools are not upto the level) with wage rate of this country, this education institution  is a business as a whole...especially in college level they don't promote their institution on the basis of what education what subjects what degree they provide but rather it's how much fun they can provide their students, the lifestyle and such which means fuck all compared to what the main goal the education institution should stand for.",1
10,"Your research is an eye opener. I really appreciate your dedication and hard work that you put on in collecting information.  
I think, Out of many countless factors, Corruption followed by greed, poor judicial system and absence of control mechanism are  prime factors for deteriorating the education system.",1
11,"Hats off bro!! Banger content. Most people don't realize this tara dherai nai serious issue ho yo jasto lagchha malai. Dherai family haru ko lagi aafno children ko lagi quality education dina untenable nai hune awastha aaisakyo. It's only getting worse from here. Big salute to you for bringing this issue to light, and for a very well researched and presented video.
On another note, I have a topic suggestion. You could do one on our traffic problem, lack of quality public transportation system, and the cartels/syndicates that run the so called 'public buses'.",1
12,Extremely well researched and well put on content together.. proud of this team,1
13,Exactly my opinion towards private school; thanks bro for excellent content; you are quality contain creator trying to educate everyone through contain ,1
14,"1. The Nepali Comment
2. Nepali Gyan 
3. In Depth Story
4. Misguided Nepal ️",1
15,The level of hard work and dedication you put towards every video is just on next level.  Thanks for this content. Hope it can reach to somewhere where it can be addressed and resolved,1
