,comments,sentiments
0,"This is one quality content which  i  rarely can find and expect from nepali youtubers. Love u brother . keep on going, u deserve it",1
1,Most Probably the best nepali youtube channel.Well researched analysed and extraordinary presentation.Have your 1M followers in eye blink.️,1
2,Felt sadI wish the right candidate will hold deserving seat,1
3,"Future of journalism and eyes of Nepal! 

Finest thing and best information source from Nepal. 

Dhanyabad Dipesh Ji ",1
4,"I hope soon we will have a electronic voting system putting all the hassle aside. 
Bro it is a real pleasure to have a commentator like you to explain the system, politics, economics...etc etc of our cuntry Nepal. Seriously, your contens are far worth watching than all the News media groups.
Jai Nepal!!!",1
5,"Thank you for your effort and shedding light to these topics. Making more contents like this will definitely add up to building a good nation. Change does not happen by whispering. People should openly be able to converse, the talk of the town ultimately becomes the voice of the mass and what the mass want compeles every force to obey and alter the course of action to reach the desired outcome.",1
6,My love for this channel just Keeps on growing more and more after every episode,1
7,"Hello,
It would be interesting if you could research on the architect 'Gunadharma' of the largest buddhist stupa/temple of the world 'Borobudur' and it's design based on Mandala. Studies show that he was one of the greatest architect from Nepal.
Araniko - Pagoda architecture
Gunadharma - Mandala architecture",1
8,And that's called quality content ️️,1
9,"Hello Dipesh, I have something important to share with you. I have written a short essay on "" How can Rabi Lamichhane win the Premiership in this very election. If you are interested in making a video on that, please message me as soon as possible since the elections are very close. I would be very happy to share that with you. If people can be informed about that, perhaps we can have a different political reality going forward than it has been for the last many decades.",1
10,"Your content is so much meaningful for all Nepalese people.
Thank you ",1
11,Your  content is to good brother you deserve more and huge respect ️,1
12,"More we know about the situation, more we get frustrated with all the dirty politics in this country. Hopefully this election brings a change with the Nepalese election stereotypes and bring out good leaders who actually care about the country.",1
13,Keep making these videos. You are giving us just gold content without any rubbish.,1
14,"It would have better if you  include the fact that election commission has fined almost all Representative of local election,certain amount for not submitting election expenditure (Kharcha Bibharan) within allocated time frame.
 (List is published in election commission official website)",1
15,The real question is: Imagine how much the winning candidate earns since they are willing to invest this amount of money for a chance to win! That is the REAL question!!!,1
16,Thank you dipesh dai ......hami student haru lai yo knowledge ko dherai jarurat xa bcoz we are future of nepal️,1
17,Great work dipesh ..much love for your work ️ ..keep going,1
18,I appreciate the efforts you are putting and enlightening us about the different aspects of the election.,1
19,If awareness is spread like this nepali people will become wise,1
20,"Your quality and standard of video is top level .
Keep going ",1
21,Love your work man️!,1
22,Great informative stuff brother. Keep going!,1
23,dai you do a lot of research in the videos you make you're a great talent,1
24,amazing and thoughtful insights ... Thank you for this amazing content... love to see more.,1
25,"Beautifully presented. 
Thank you for all you do. <3 <3 <3",1
26,"I would also recommend for ""public-funded election"" and prohibit private or corporate funding that could hurt the public interest. 
So, how will it work? 
Firstly, any candidate who has won a local election (through private funding) is eligible (or any member of the legislative assembly) to compete in the provincial election with public funding. Any member of the legislative assembly is eligible to compete and receive public funding for the federal parliament.  
This would limit random people who intend to become MP through private funding or misuse public-funded elections. 

The second step is to decrease the size of Parliamentarians in Nepal. A province of the population of Karnali in the US sends 5 Congressmen and Bagmati province sends 8 Congressmen, even the largest US state via California sends 55 Congressmen. Bagmati alone sends around 63 MPs to the center- this makes the parliament tooooo unstable and we know how many unstable the Nepali parliament really is. With a smaller parliament- the public-funded election will also have a less economic constraint. 

Third, empower direct democracy- via the politicians are more of policy developers and not masters of parliament because what they build they will be forced to come to people for approval- Corporates will have little incentive to even fund politicians as they are incompetent to implement the exploitative policies of industries.  

Then there won't be party workers and Politicians will no longer be masters of the country but just government servants winning not through cash of corporates but directly by the ability to campaign with an equal amount of money allocated to each candidate.",1
27,Hats off to your hardwork brother ️,1
28,In depth story and The Nepali comment these two channel gives us the real information thanking you!!,1
29,Great work bro..... Wish to see u far ahead. Best of luck fr ur great channel ,1
30,"Awesome content
Pushing the quality level of content in every video",1
31,Quality Content as always.,1
32,"Great content and valuable information 
Kudos from India !!",1
33,Keep up the good work ️🇳🇵,1
34,dai you are making your content more better day by day,1
35,Keep Up the Good Work. I just wait to watch yours and In-Depth Story videos.,1
36,Keep going bro ️ thanks you for the information ️️️,1
37,"Dai 
can u talk about the labour law...
it might getting a serious problem   
in nepal...
and why nepal labour law is incompleted",1
38,brother just loved your content i wish you to become the biggest creator of Nepal,1
39,Thank you for the content Dipesh :),1
40,That's the quality of good journalism...,1
41,Bro your content is too good ️,1
