,comments,sentiments,clean_comments
0,"This is one quality content which  i  rarely can find and expect from nepali youtubers. Love u brother . keep on going, u deserve it",1,one quality content rarely find expect nepali youtubers love u brother keep go u deserve
1,Most Probably the best nepali youtube channel.Well researched analysed and extraordinary presentation.Have your 1M followers in eye blink.️,1,probably best nepali youtube channelwell research analysed extraordinary presentationhave 1m follower eye blink
2,Felt sadI wish the right candidate will hold deserving seat,1,felt sadi wish right candidate hold deserve seat
3,"Future of journalism and eyes of Nepal! 

Finest thing and best information source from Nepal. 

Dhanyabad Dipesh Ji ",1,future journalism eye nepal fine thing best information source nepal dhanyabad dipesh ji
4,"I hope soon we will have a electronic voting system putting all the hassle aside. 
Bro it is a real pleasure to have a commentator like you to explain the system, politics, economics...etc etc of our cuntry Nepal. Seriously, your contens are far worth watching than all the News media groups.
Jai Nepal!!!",1,hope soon electronic voting system put hassle aside bro real pleasure commentator like explain system politics economicsetc etc cuntry nepal seriously contens far worth watch news medium group jai nepal
5,"Thank you for your effort and shedding light to these topics. Making more contents like this will definitely add up to building a good nation. Change does not happen by whispering. People should openly be able to converse, the talk of the town ultimately becomes the voice of the mass and what the mass want compeles every force to obey and alter the course of action to reach the desired outcome.",1,thank effort shed light topic make content like definitely add build good nation change happen whisper people openly able converse talk town ultimately becomes voice mass mass want compeles every force obey alter course action reach desire outcome
6,My love for this channel just Keeps on growing more and more after every episode,1,love channel keep grow every episode
7,"Hello,
It would be interesting if you could research on the architect 'Gunadharma' of the largest buddhist stupa/temple of the world 'Borobudur' and it's design based on Mandala. Studies show that he was one of the greatest architect from Nepal.
Araniko - Pagoda architecture
Gunadharma - Mandala architecture",1,hello would interest could research architect gunadharma large buddhist stupatemple world borobudur design base mandala study show one great architect nepal araniko pagoda architecture gunadharma mandala architecture
8,And that's called quality content ️️,1,thats call quality content
9,"Hello Dipesh, I have something important to share with you. I have written a short essay on "" How can Rabi Lamichhane win the Premiership in this very election. If you are interested in making a video on that, please message me as soon as possible since the elections are very close. I would be very happy to share that with you. If people can be informed about that, perhaps we can have a different political reality going forward than it has been for the last many decades.",1,hello dipesh something important share write short essay rabi lamichhane win premiership election interested make video please message soon possible since election close would happy share people inform perhaps different political reality go forward last many decade
10,"Your content is so much meaningful for all Nepalese people.
Thank you ",1,content much meaningful nepalese people thank
11,Your  content is to good brother you deserve more and huge respect ️,1,content good brother deserve huge respect
12,"More we know about the situation, more we get frustrated with all the dirty politics in this country. Hopefully this election brings a change with the Nepalese election stereotypes and bring out good leaders who actually care about the country.",0,know situation get frustrate dirty politics country hopefully election bring change nepalese election stereotype bring good leader actually care country
13,Keep making these videos. You are giving us just gold content without any rubbish.,1,keep make videos give u gold content without rubbish
14,"It would have better if you  include the fact that election commission has fined almost all Representative of local election,certain amount for not submitting election expenditure (Kharcha Bibharan) within allocated time frame.
 (List is published in election commission official website)",1,would better include fact election commission fin almost representative local electioncertain amount submit election expenditure kharcha bibharan within allocated time frame list publish election commission official website
