,comments,sentiments,clean_comments
0,Thank you everyone for showing such  unexpected love & thanks to   the nepali comment team,1,thank everyone show unexpected love thanks nepali comment team
1,"I m a newar from Bhaktapur. We were totally unaware from the problems facing by our brothers and sisters facing in madhes. CK Raut was also portrait as a villain by the media and political parties.
But through this video my perspective have totally change. All nepali should unit for a better and prosperous future of Nepal. Jay Nepal",0,newar bhaktapur totally unaware problem face brother sister face madhes ck raut also portrait villain medium political party video perspective totally change nepali unit well prosperous future nepal jay nepal
2,"This video has changed my perception towards CK Raut, actually he’s not a bad person as he was shown by the media and other political parties. Thank you The Nepali Comment, you deserve more  limelight. All the best",1,video change perception towards ck raut actually he s bad person show medium political party thank nepali comment deserve limelight best
3,"you are right. Most of us in terai consider ourselves Nepali. we were born in this land, we grew up the same way as the Kids in Pahad did, hearing stories of Prithvi Narayan shah, about all the dynasties that ever existed in Nepal and the development they did, about Gorkhalis and how our country never held back and stayed free. But we didn't feel the same as Kids of Pahad, unless we have ample amount of money. If you are from terai, you will not the get an item in a tourist shop at that cheap amount some Pahadi does. Why? cause you are from terai, so you are not Nepali, you are Inidan. But my whole life when I was in terai I never felt like any other country's citizen but Nepal. So, why did that women in that shop tell us that we are not Nepalis. What did we do? what did I do? since that day whenever we went outside terai, we lied that we are originally from Kathmandu just to get some discount and not to be treated like an outcast. 
when foreigners interview some people of Kathmandu or Lalitpur for their Youtube videos, they say that Nepal is a very peaceful country and there is no discrimination at all. But it's not the truth, they know it themselves. They might be that guy who didn't talk to a Madhesi student in their high school just because he was from terai. ( I am just thankful, this didn't happen with me but I have heard stories and trust me I have heard so many of them). There is fear among some people I know. IF and when you are in Kathmandu or outside terai you may not speak in Bhojpuri cause then people around you will know that you are a Madhesi and you simply don't want to be left out because you are human too. Some of them happen to hate their original identity so much that they lie about it (But our country is secular so I can't object on what you want to be called as), they are so consumed by the pride it brings them from hiding their identity that they look down upon their fellow Madhesi. 
The world has to stop lying that Nepal is indiscriminatory. IF we might have ever felt like we are not Nepali, its mostly because of the way we were treated. Despite everything I still call myself Nepali and a Madhesi and am proud. There might be some harsh people who treat us like an outcast but we can't ignore the fact that there are some nice people, who I came across in my life, who never cared about the title of Pahadi or Madeshi and  I love them and i am glad they exist.",0,right u terai consider nepali born land grow way kid pahad hear story prithvi narayan shah dynasty ever exist nepal development gorkhalis country never hold back stayed free didnt feel kid pahad unless ample amount money terai get item tourist shop cheap amount pahadi cause terai nepali inidan whole life terai never felt like country citizen nepal woman shop tell u nepalis since day whenever go outside terai lie originally kathmandu get discount treat like outcast foreigner interview people kathmandu lalitpur youtube video say nepal peaceful country discrimination truth know might guy didnt talk madhesi student high school terai thankful didnt happen heard story trust heard many fear among people know kathmandu outside terai may speak bhojpuri cause people around know madhesi simply dont want leave human happen hate original identity much lie country secular cant object want call consume pride brings hide identity look upon fellow madhesi world stop lie nepal indiscriminatory might ever felt like nepali mostly way treat despite everything still call nepali madhesi proud might harsh people treat u like outcast cant ignore fact nice people come across life never care title pahadi madeshi love glad exist
4,"We grew up in a society where we were taught that madhesi people are like indian. They came from india. Thus, they are indian. And we believed it so. But since the protest about declarations of madhesh to a new country happened ,it made me think about the reason and when I came to know this caused because of the discrimination that we do to them, it changed my perspective towards them. Thanks for the video. Keep it up!",1,grow society taught madhesi people like indian come india thus indian believe since protest declaration madhesh new country happen make think reason come know cause discrimination change perspective towards thanks video keep
5,As a Kathmandu native I can never completely understand depth of Racism in Nepal. But I can somewhat understand pov of Dr. CK Raut.,1,kathmandu native never completely understand depth racism nepal somewhat understand pov dr ck raut
6,"Damn, His story is truly inspiring!",1,damn story truly inspire
7,Being madhesi you will face racism at some point of life especially  when you live in ktm.i can understand  the feelings   of his.The growth of his life journey  is markable.Huge respect to him.I hope this will bring change in Madhesh.,0,madhesi face racism point life especially live ktmi understand feeling histhe growth life journey markablehuge respect himi hope bring change madhesh
8,"This is the real story what every Nepalese should know about Dr. CK Raut , till this date he is misunderstood by alot of people, Hope this video will give them clarity.",1,real story every nepalese know dr ck raut till date misunderstood alot people hope video give clarity
9,"Kudos to the entire team of ' The Nepali Comment'. Love how each of your video is well researched, crisply scripted and delivered with so much clarity. Cheers! ",1,kudos entire team nepali comment love video well research crisply script deliver much clarity cheer
