,comments,sentiments,clean_comments
0,Thank you everyone for such a great response. Just wanted to say that the English subtitles are available now.,1,thank everyone great response want say english subtitle available
1,"I arguably think that our country got way backward due to the Ranas. We can't even imagine what common people had faced at that time. And to stop that autocratic rule what our martyrs did are truly unreal.
Thank you for bringing us #Sahid haru ko katha
Uni haruko balidan kahile birsinexainau",0,arguably think country get way backward due rana cant even imagine common people faced time stop autocratic rule martyr truly unreal thank bring u sahid haru ko katha uni haruko balidan kahile birsinexainau
2,"I had never thought the real story of the same martyrs that we studied back in school was this interesting. I don't know how much you had to dig for the all the information you provided in this video, but I definitely feel like this video shows that you can make a whole series that highlight countless other topics otherwise relegated to the pages of dusty old history books no one cares to turn anymore. To me at least, it's always felt like the events and people of the past, the stories  we read in our social studies and history textbooks are but bygone tales in black and white with little to no relevance in the present day.
With so much western history adapted into numerous movies, TV series and informative animations, I had always wondered whether the dearth of such materials online in the case of Nepal was due genuinely to the unavailability of written records of our history, but through emerging channels like yours, I am beginning to think that we do, as a country, have enough information to produce massively consumable video content that has the potential to serve the public memory well. As time proves over and over, we are a people that could use some historical memory.
Great content! And your effort shows, we do notice the minor details as well, details that you could so easily have omitted without much to lose. Keep up the good work guys.",1,never think real story martyr study back school interesting dont know much dig information provide video definitely feel like video show make whole series highlight countless topic otherwise relegate page dusty old history book one care turn anymore least always felt like event people past story read social study history textbooks bygone tale black white little relevance present day much western history adapt numerous movie tv series informative animation always wonder whether dearth material online case nepal due genuinely unavailability write record history emerge channel like begin think country enough information produce massively consumable video content potential serve public memory well time prove people could use historical memory great content effort show notice minor detail well detail could easily omit without much lose keep good work guy
3,Thanks Martyrs may making Nepal to this stage .,1,thanks martyr may make nepal stage
4,"Hug respect to Martyrs.
This kind of content should be made frequently so that we could get knowledge ️",1,hug respect martyr kind content make frequently could get knowledge
5,Salute from the bottom of my heart to those legendary and brave Marty's,1,salute bottom heart legendary brave martys
6,"Imagine we had a well made series about Prithivi Narayan Shah's unification campaign or the onset and demise of the Rana regime. When we had to study them during 8th and 9th grade, we weren't interested at all cause what 13 year old would be, but now after finishing high school, it's so fascinating learning about how our country had its own Game of Thrones type of political intrigue and drama mixed together with strategic battles and scheming, murderous plots.

I mean reading about them is certainly more interesting than knowing the current political situation, at least for me.",1,imagine well make series prithivi narayan shahs unification campaign onset demise rana regime study 8th 9th grade werent interested cause 13 year old would finish high school fascinate learn country game throne type political intrigue drama mixed together strategic battle scheme murderous plot mean read certainly interest know current political situation least
7,"Man was born free
And he is everywhere in chains",1,man bear free everywhere chain
8,"Takes great research to make these kind of contents.  Another great video from The Nepali Comment. 
Quite refreshing to see great animations as well. ",1,take great research make kind content another great video nepali comment quite refresh see great animation well
9,"Dai, It would be awesome if you keep on posting history videos related to we student's curriculum. It will be easier for all us pupils to learn through visualization.! Keep on doing the work!",1,dai would awesome keep post history video related student curriculum easy u pupils learn visualization keep work
10,"Our Martyrs scarifised themselves for the sake of this nations future and now its our turn to take the responsibility of our country and transform it into a better place.
Jay Nepal!!!",1,martyr scarifised sake nation future turn take responsibility country transform good place jay nepal
11,"Thank you for this amazing video ! 

Wonderful storytelling ",1,thank amaze video wonderful storytelling
12,"Extremely grateful to the depth you went to uncover the details. Facts can be, at times, stranger than fiction but your narrative & video content is simply mesmerizing. Hats off ! Keep doing what you are doing.",1,extremely grateful depth go uncover detail fact time strange fiction narrative video content simply mesmerize hat keep
13,Absolutely incredible. We need further initiatives in these lines to get us more  familiar and closer to our past. waiting for the next part !!,1,absolutely incredible need initiative line get u familiar closer past wait next part
14,There is nothing either good or bad but thinking makes it so ️,0,nothing either good bad thinking make
15,Your content is very informative and entertaining .The editing is beyond anything in nepali YouTube. Just keep on pushing You have a lot of potential.,1,content informative entertain edit beyond anything nepali youtube keep push lot potential
16,"A very interesting content that you've started, I'll give you that. I'm thrilled to be watching this and equally curious how this all unfolded. Eagerly waiting for the next part. Keep up the good work sir.",1,interest content youve start ill give im thrill watch equally curious unfold eagerly wait next part keep good work sir
17,"Thank you for such a content, the youth need to know the history of Nepal beyond the text book",1,thank content youth need know history nepal beyond text book
18,Your videos are always so informative & educational. Thank you bro for taking time to research & create such awesome contents. Tm ra tmro team 100 percent best content creator haru hau nepal ko. Thank you for your work and dedication. Jay Nepal 🇳🇵 🫡,1,video always informative educational thank bro take time research create awesome content tm ra tmro team 100 percent best content creator haru hau nepal ko thank work dedication jay nepal
19,"Hats off my brother, you have done great job enlightening new gen with Nepali History!",1,hat brother do great job enlighten new gen nepali history
20,I love watching History... waiting for part 2 ️️,1,love watch history wait part 2
21,This man deserve more support ️️,1,man deserve support
22,I want this type of content from this channel. A lot more  content about our history.,1,want type content channel lot content history
23,Thanks to all those martyrs who fought for us for our freedom sacrifying themself...Big SALUTE to them️️️️️,1,thanks martyr fought u freedom sacrifying themselfbig salute them
24,"Love the way you illustrated the history 🇳🇵
Thankyou so much for putting much effort in research and  attractive video making  best wishes Mitra",1,love way illustrated history thankyou much put much effort research attractive video make best wish mitra
25,The way you explain and animate video it helps to recognize them very easily  you are awesome brother ️,1,way explain animate video help recognize easily awesome brother
26,This guy is true inspiration for young generation .,1,guy true inspiration young generation
27,These videos will ignite a small spark of lost nationalism among nepalese youth. Thanks for not letting their true stories be forgotten.,1,video ignite small spark lose nationalism among nepalese youth thanks let true story forget
28,being at 20s their stories are more interesting and understandable feels what that they have done in our history. Thank you for reminding and making interesting way to present our history,1,20 story interest understandable feel do history thank remind make interesting way present history
29,Thank for sharing  this story brother really appreciated,1,thank share story brother really appreciate
30,Great work man truly appreciate your work and effort. Thank you for your content,1,great work man truly appreciate work effort thank content
31,Thank you for your well researched video and good topic selection.,1,thank well research video good topic selection
32,Dai I am a college student and recently migrated to ktm I have to walk on foot in the early morning on the street of ktm and I have always fear of being attacked by stray dogs .i want u to make a video on this crisis which  no one talks about hopefully u would take my words into account such that the responsible authority would take action. #timeforchange,1,dai college student recently migrate ktm walk foot early morning street ktm always fear attacked stray dog want u make video crisis one talk hopefully u would take word account responsible authority would take action timeforchange
33,Sir your content is always on to the point ️,1,sir content always point
