,comments,sentiments,clean_comments
1,I see potential in this channel to become the most trusted youtube channel of Nepal.,1,see potential channel become trust youtube channel nepal
2,Past 2-3 years i was only watching dhruv rathee to gain such kind of knowledge on any particular topics but he is Indian . He explains Indian politics on majority. I never found  any from my country then i saw this channel. Really brother you explained it very clearly.️️ I am addicted on you now.,1,past 23 year watch dhruv rathee gain kind knowledge particular topic indian explain indian politics majority never find country saw channel really brother explain clearly addict
3,"This is True rise of Genuine Content creators in Nepal, hats off bro, keep it up cause Young Generation needs to be aware of this types of incident",1,true rise genuine content creator nepal hat bro keep cause young generation need aware type incident
4,"Very well presented !!
This is what new generation Nepali youths are expected to be.

Hats off to your research and dedication ",1,well present new generation nepali youth expect hat research dedication
5,"Amazing synthesis of the whole situation you guys ! I was part of the Maoist student movement back then , we were all infuriated with Rumngad and President back then . But in hindsight, Nepal avoided a big disaster.",1,amaze synthesis whole situation guy part maoist student movement back infuriated rumngad president back hindsight nepal avoid big disaster
6,Thank you for portraying history to the youth who are devoid and confused about the political history of Nepal. You are doing a wonderful job,1,thank portray history youth devoid confuse political history nepal wonderful job
7,"Thank you brother 
You’re providing alot of knowledge to learn about our own country🇳🇵
Really happy to see content creators like you",1,thank brother you re provide alot knowledge learn country really happy see content creator like
8,"US : Johnny Harris
India : Soch, Dhruv Rathee
Nepal : The Nepali Comment
I really appreciate your amazing content. I hope this will help you to keep going and to keep growing",1,u johnny harris india soch dhruv rathee nepal nepali comment really appreciate amazing content hope help keep go keep grow
9,"Most underrated YouTuber of Nepal.. 
Huge respect to you sir ️",1,underrated youtuber nepal huge respect sir
10,"@TheNeplaiComment ..bro you should host a live QnA sometimes. Would be fun to discuss and learn the Nepalese history. Talking about which, will you be making videos on the Rana Shashan, Prithvi Narayan Shah times etc... Why not a series on the major Nepalese events?? Much Respect !!",1,theneplaicomment bro host live qna sometimes would fun discus learn nepalese history talk make videos rana shashan prithvi narayan shah time etc series major nepalese event much respect
11,I used to read the book of rukmangud katwal when i was in 9 class.great book and he is also great person.great analysis brother anyway️️️,1,use read book rukmangud katwal 9 classgreat book also great persongreat analysis brother anyway
12,Your content is truly a gem. Thanks for presenting various facts in informative way,1,content truly gem thanks present various fact informative way
13,we appreciate your efforts keep inspiring and enlightening the youths,1,appreciate effort keep inspire enlighten youth
14,Can I suggest you to put cc/subtitles in your videos to make it more accessible to people with hard of hearing? Believe me there is a large community in need of it here in Nepal too!,1,suggest put ccsubtitles video make accessible people hard hear believe large community need nepal
15,I am watching you since your 20k subscribers and I really appreciate your efforts brother keep making this kind of videos so that we can get know the hidden and unknown truth,1,watch since 20k subscriber really appreciate effort brother keep make kind videos get know hide unknown truth
16,"Wow i am truly amazed that how clear is your message to the audience. I have been watching your videos since beginning and you’ve come really far and your quality is admirable.Congratulations to you, keep growing.",1,wow truly amaze clear message audience watch video since begin you ve come really far quality admirablecongratulations keep grow
17,Your efforts of making documentary  like videos  are great!!.. keep enlighten!! .. keep rising!!,1,effort make documentary like video great keep enlighten keep rise
18,"1. In depth story
2. The Nepali Comment
3. Nepali Gyan 
4. Ramdom Nepali 
5. Misguided Nepal ",1,1 depth story 2 nepali comment 3 nepali gyan 4 ramdom nepali 5 misguide nepal
19,Huge respect to all the team members,0,huge respect team member
20,Huge respect to you brother ,1,huge respect brother
21,"You people are doing awesome!  
Hats off to the team ! 
Specially Dipesh vai ",1,people awesome hat team specially dipesh vai
22,Good job. A well prepared informative video. Massive respect to the creator.,1,good job well prepared informative video massive respect creator
23,Deepesh and the Nepali Comment Team - Kudos to you guys for such brilliant content time and again ...,1,deepesh nepali comment team kudos guy brilliant content time
24,I love the way you present and the duration of the video is  incerese day by day ,1,love way present duration video incerese day day
25,The quality in your contains are so overwhelmed keep the good work bro ️,1,quality contains overwhelm keep good work bro
26,"staying updated on your each and every contents. thanks for your comprehensive research, keep commenting we're always on the other side to hear you.",1,stay update every content thanks comprehensive research keep commenting always side hear
27,"I believe there must be a large series or maybe just a  movie regarding the history of Nepal. Excellent work bro .
Just be safe who knows what they are planning.",1,believe must large series maybe movie regard history nepal excellent work bro safe know planning
