,comments,sentiments,clean_comments
0,This video is very informative. I had seen the victims protest at Maitighar for almost 2 months. They protested all day regardless of the weather. At that time I wondered what 'Meter Byaj' was. Thanks for making this video and presenting the topic of Meter Byaj to the Nepali people.,1,video informative see victim protest maitighar almost 2 month protest day regardless weather time wonder meter byaj thanks make video present topic meter byaj nepali people
1,A bitter truth everyone needs to know.. Thanks for making this video brother !!,1,bitter truth everyone need know thanks make video brother
2,"My father lost all his earning because of this, a guy gave my dad 4 lakh and we've already paid him more than 40 lakh and he still threaten us . My mom went to jail several times even though she wasn't a criminal. There's no justice.",1,father lose earn guy give dad 4 lakh weve already pay 40 lakh still threaten u mom go jail several time even though wasnt criminal there justice
3,Your insights on these ground reality of Nepal and its common people are eye opener to me. Thanks for these fruitful knowledge and insights. <3,1,insight ground reality nepal common people eye opener thanks fruitful knowledge insight 3
4,"I really appreciate how respectful you are to the people.
This content should go mainstream for mass information.",1,really appreciate respectful people content go mainstream mass information
5,I'm noticing that this channel's content is getting better and better every day. Keep it up brother ,1,im notice channel content get good good every day keep brother
6,Love your content. Thanks for bringing these issue to light.,1,love content thanks bring issue light
7,Thanks for your effort and helping us to know many things about such issues.,1,thanks effort help u know many thing issue
8,"I saw these people on protest  for about a month on my way to college every single day, didn't understand the issue then. Thanks for bringing this to light.",1,saw people protest month way college every single day didnt understand issue thanks bring light
9,"The Nepali comment truly deserve much more attention and the spotlight as he is showing the bitter truth as well as he does a deep research, whereas other just spit some shit on there videos get millions of views and have a bad influence on the people , he is doing the right thing with proper research and great quality video , he really deserves much more attention  hope this continues in the future too ",1,nepali comment truly deserve much attention spotlight show bitter truth well deep research whereas spit shit videos get million view bad influence people right thing proper research great quality video really deserve much attention hope continue future
10,"Great information,. I appreciate your researching ability
Big fan bro, you are my inspiration ",1,great information appreciate researching ability big fan bro inspiration
11,"Quality, subject matter and intent behind this video  ",1,quality subject matter intent behind video
12,"At last you said right. Those people who take loans are also Fraud sometimes. A guy from our village took around 3 lakhs from my family and ran away. Our family was taking 7% interest as he was our relative. We didn't harm either of his family. Instead my father forgave him as that guy was his close person So called ""MAMA""",0,last say right people take loan also fraud sometimes guy village take around 3 lakhs family run away family take 7 interest relative didnt harm either family instead father forgive guy close person call mama
13,"Your research is amazing brother.
Keep it up , Best wishes️",1,research amaze brother keep best wish
14,"Sir, Will China Do same with Nepal as of Sri Lanka... As China is having more influence... It will be good ? Please make video on this!!! 
Love u sir ️️",1,sir china nepal sri lanka china influence good please make video love u sir
15,"This man is dope 
His content are great 
Hats off",1,man dope content great hat
16,Hatsoff to the team for the content,1,hatsoff team content
17,Same as ours Even though we are going to sell our house at 1.5cr we cannot pay the loan,0,even though go sell house 15cr cannot pay loan
18,"Thank  u brother for such good information that everybody needs to know. 
  Hats off brother! ",1,thank u brother good information everybody need know hat brother
19,"Adding CC Eng sub would help this video reach globally.
Cheers from Mumbai.",1,add cc eng sub would help video reach globally cheer mumbai
20,Most underrated content channel  in Nepal and good luck in future .,1,underrated content channel nepal good luck future
21,"Discover more ,your content is genuine and trustworthy.",1,discover content genuine trustworthy
22,"Hey, I am from India and really like the quality of your videos. But I am not able to understand anything. Can you please add captions?

Thank you for all your hardwork. ",1,hey india really like quality video able understand anything please add caption thank hardwork
23,I m loving this channel for infinity reasons ♡,1,love channel infinity reason
24,"I am in love with your content bro,
 Keep going, if any guy who in injustice get justice from your video, that will be our success ️",1,love content bro keep go guy injustice get justice video success
25,This is what we need ground reality  real Nepal youtube community lies here and in esport channel not in moto vlogging and online patrika where they all work for money. Respect your content bro,1,need ground reality real nepal youtube community lie esport channel moto vlogging online patrika work money respect content bro
26,bro... I think you deserve. more than you are,1,bro think deserve
27,"Thankyou brother 
For raising this problem towards public. 
This has bee stopped As soon as possible.",1,thankyou brother raise problem towards public bee stop soon possible
28,love your work,1,love work
29,I hope justice will be served. जै नेपाल 🇳🇵,0,hope justice serve
30,Great explanation ️,1,great explanation
31,Keep up the good work bro️,1,keep good work bro
32,9:34 Ekdam sahi kuro daju. Nepal ma paisa ko value nai xaina. If we earn/spend the same amount of money in other countries (for eg : India) our lifestyle would've been so much different.,0,934 ekdam sahi kuro daju nepal paisa ko value nai xaina earnspend amount money country eg india lifestyle wouldve much different
33,"Very much informative 
Thank you ",1,much informative thank
34,Such a nice content ,1,nice content
35,Huge respect.,1,huge respect
36,This is heartbreaking ,1,heartbreaking
38,"Mainly village farmers haru yo trap maa dherai pareka xan.
Thanks for the well researched content",0,mainly village farmer haru yo trap maa dherai pareka xan thanks well research content
39,"Thank you brother. I am processing a loan at the moment . I will be careful, thank you

",0,thank brother processing loan moment careful thank
40,Thanks for the education... ️️,1,thanks education
41,Very good video bhai. Keep it up and expect many awareness videos like this in the future it gives awareness in our country,1,good video bhai keep expect many awareness video like future give awareness country
42,"make a vedio about mutual fund and how its destroying rural nepal, how they source their fund and compare it to metre byaj 
its a dope concept i guess  
there's lots of article as well for research and review                                                                                             
and thankyou for your effort",1,make vedio mutual fund destroy rural nepal source fund compare metre byaj dope concept guess theres lot article well research review thankyou effort
43,Govt should not recognize person to person loan agreements (written or otherwise) as legally binding. They need not ban it. But declare that any loan occurs at the risk of the lender !!,0,govt recognize person person loan agreement write otherwise legally bind need ban declare loan occur risk lender
44,"Bro, make a video on the economic condition of Nepal nowadays",1,bro make video economic condition nepal nowadays
45,Every time i watch your video you win my heart.,1,every time watch video win heart
46,You deserve more subscribers.,1,deserve subscriber
47,"Your content trap me
Awesome ",1,content trap awesome
48,Love your content keep going!!,1,love content keep go
49,Yet another great in-depth story from this channel....keep up the great work bro..,1,yet another great indepth story channelkeep great work bro
50,"Brother I think u should know nepal’s bank loan percentage is higher,it’s 18-30% so how u can tell only normal loans is bad",0,brother think u know nepal s bank loan percentage higherit s 1830 u tell normal loan bad
51,Brother your content describes about situation of Nepali️ keep going kei na kei change ta chittai dekhinxa,1,brother content describe situation nepali keep go kei na kei change ta chittai dekhinxa
52,"You deserve my 1 like bro, good job bro, keep it up ",1,deserve 1 like bro good job bro keep
53,Your contents are awesome keep going bro,1,content awesome keep go bro
54,Content ekdam ramro lyaerako xau bro. Full support ️,1,content ekdam ramro lyaerako xau bro full support
55,Can u make a video about increasing interest rate in banking too,1,u make video increase interest rate banking
56,Waiting for another knowledgeable content and it seems interesting..,1,wait another knowledgeable content seem interesting
57,Great work keep it up,1,great work keep
58,Keep Rocking always Bro... ,1,keep rocking always bro
59,Hats off ️,1,hat
60,"My friend have also not given my money when I was in school .. 
Now I am in college ",1,friend also give money school college
61,In my village people still pay Rs 3 as interest of Rs. 100 per month. That's 36% annually.,1,village people still pay rs 3 interest r 100 per month thats 36 annually
62,Wow amazing awareness ,1,wow amaze awareness
63,Wow ! What a content dai️,1,wow content dai
64,Keep going bro lots of love️️️️,1,keep go bro lot love
65,I'm your daily viewer sir ,1,im daily viewer sir
66,Very informative; thank you for this beautiful viedo,1,informative thank beautiful viedo
67,Thankyou nepali comment for such valueable content,1,thankyou nepali comment valueable content
68,"Voice of Voiceless
Salute to you",1,voice voiceless salute
69,"@TheNepaliComment Hi bro you really do some good research and put so much effort and the way you present the video is so catchy really it's a very good content you are working on, it's a humble request can you make a detail video about Dor Bahadur Bista who disappeared, he was a.k.a  father of anthropology; I hope you know about this missing case about #Dorbahadurbista, Can you please do some research about him and make a video about him, and what's going on in his case, I heard there is also a documentary movie about him about his case but I don't no where and how to watch the documentary; waiting for the video..
Thanks..",1,thenepalicomment hi bro really good research put much effort way present video catchy really good content work humble request make detail video dor bahadur bista disappear aka father anthropology hope know miss case dorbahadurbista please research make video whats go case heard also documentary movie case dont watch documentary wait video thanks
70,Very informative amazing video,1,informative amazing video
71,Appreciate the stoic quote in the background!!,1,appreciate stoic quote background
72,Nepal मा Electric Vehicle (Specially 2-wheelers ) हरुलाइ subsidies दिदा दिदै पनि Market Price सधै High नै हुने बिषयमा पनि बनाउन पर्यो भिडियो !,1,nepal electric vehicle specially 2wheelers subsidy market price high
73,Thank you for sharing.,1,thank share
74,keep up the good work bro,1,keep good work bro
75,I'm so glad that I subscribed. I've seen all of your videos.,1,im glad subscribe ive see video
76,Keep up the good work,1,keep good work
77,"Nice Video Bro keep it up,
And Published all issue About nepal and nepali ️ 
Wee support you.!",0,nice video bro keep publish issue nepal nepali wee support
78,"Please make a video on ""Exposing Tribhuvan University (T.U) "". Students has suffered a lot because of them.",1,please make video expose tribhuvan university tu student suffer lot
79,Good luck for ur team,1,good luck ur team
80,🫶 thumbnail and content ️,1,thumbnail content
81,Nice presentation ,1,nice presentation
82,Serious things myaan... I lost around  40 lakhs... how to get that money?? Any suggestions??,1,serious thing myaan lose around 40 lakhs get money suggestion
83,"Best explanation
Keep going
Love from jhapa.",1,best explanation keep go love jhapa
84,Please tell in brief about present rajnitik condition of nepal... want to understand whats going on,1,please tell brief present rajnitik condition nepal want understand whats go
85,One of best Nepali YouTube channel ,1,one best nepali youtube channel
86,"Nepali Congress Party is in the forefront in protecting those perpetrators, but why becoz they are affiliated with Congress party, if they get jailed how will politicians get chanda during election? Whole system is corrupt top to buttom. Anyways thanks for covering this topic ",1,nepali congress party forefront protect perpetrator becoz affiliate congress party get jail politician get chanda election whole system corrupt top buttom anyways thanks cover topic
87,Informative video I never heard about meter byaj,1,informative video never heard meter byaj
88,Thank you Dipesh.,1,thank dipesh
89,"हजुरको भिडियो ज्ञानजनक हुने गर्छ। गाउमा असरी हजारौं करोबार हुने गर्छ । म आफ्नै कुरा गर्दा घारमा बिहेको काम परेकोले मैले धेरै रिन लिए छु र धेरै जाना सँग, मैले तमसुक बनाउदा कसै सँग 1 लाख लिए छु भने 3  लाख को बन्ने छ। 4 बर्ष मा 3 लाख 50 हजार तिरे यस्तो धेरै को तिर्न बाकी छ मलाई तर के गर्नु भोलीको त्यही समाजमा बस्नु छ र समस्य परेको दिन तेहि मान्छे फेरि काम लाग्छ। तर नै ब्यज दर नै महगो भए छ । लाग्छ अब खाडिमा जीवन बिते पनि सबैको पैसा तिरन सकिँदैन ।",0,1 3 4 3 50
90,There is nothing either good or bad but thinking makes it so.,0,nothing either good bad thinking make
91,I was previously subscribed. You earned the bell today . Now I can enjoy your contest fresh out the oven!!   Best wishes!!,1,previously subscribe earn bell today enjoy contest fresh oven best wish
92,Bro could you please make an sensational video on our rubbish domestic airlines and their planes since the crash is happening so often.,1,bro could please make sensational video rubbish domestic airline plane since crash happen often
93,topic and thumbnail both op,1,topic thumbnail op
94,how indian peoples r getting citizenship easily in nepal plz make videos on it,1,indian people r get citizenship easily nepal plz make video
95,"This is so close to heart, too difficult to watch.",1,close heart difficult watch
96,The Nepali Comment Team,1,nepali comment team
97,"मलाइ पनि यस्को बारेमा थाहा थिएन 
thank you for this video,information",1,thank videoinformation
98,I hope 2050 will change Nepal 🇳🇵 s,1,hope 2050 change nepal
99,Very informative content. Please upload a vodeo about Nepali airlines...,1,informative content please upload vodeo nepali airline
100,top level content ,1,top level content
101,Poverty is the worst cause to death of mankind,1,poverty bad cause death mankind
102,मेरो subscription list मा जम्मा १२ ओटा channel रहेका छन् जस मध्य The Nepali Comment पनि एउटा हो। Just imagine how important and good is this channel.,1,subscription list channel nepali comment imagine important good channel
103,"Bro, can u make videos on the benefits and no benefit of marijuana? Plz",0,bro u make videos benefit benefit marijuana plz
104,Reality of Nepalese society..!,0,reality nepalese society
105,Sad reality of Nepal... Too sad,1,sad reality nepal sad
106,Its sad but you can also study the case of laghubittita bittiya sastha,1,sad also study case laghubittita bittiya sastha
107,good work bro,1,good work bro
108,Good cover story .,1,good cover story
109,Ok this seems fascinatingly interesting.. waiting..,1,ok seem fascinatingly interesting wait
110,I think...Youtube channel hoss ta yesto Awesome Content Creator!!!..Your content is in next level bro...keep going on bro,1,thinkyoutube channel hoss ta yesto awesome content creatoryour content next level brokeep go bro
111,Its being my daily dose channel,0,daily dose channel
112,keep going bro,1,keep go bro
113,"Actually meter byaji ain't that wrong but the intention may be.
During an emergency, my dad took a loan of 3 lakh but the actual paper was made of 9 lakh. He was afraid of being scammed but as there wasn't any option he took the risk. Fortunately, the money owner had good intention and he didn't asked for a single extra penny of money after 1.5 year of return. The interest was high but it isn't the matter of concern because it's obvious that it would be if someone want that huge amount of money suddenly. So some of them do this just for their security and not having the intention of scamming.
But as there are many people suffering from this system, government must have to find some better alternative for both of them.",0,actually meter byaji aint wrong intention may emergency dad take loan 3 lakh actual paper make 9 lakh afraid scammed wasnt option take risk fortunately money owner good intention didnt ask single extra penny money 15 year return interest high isnt matter concern obvious would someone want huge amount money suddenly security intention scamming many people suffer system government must find well alternative
114,Good documentry..,1,good documentry
