,comments,sentiments,clean_comments
0,People posting thier ILLEGALLY crossing the boarder journey publicly on social media is more frightening and also pathetic. Afno jyan bhanda pyaro tiktok? ️ bharey tyo video haru ley afulai samsya nalyaos and yesari post garna ley aru pani jhan influence hudai cha jasto lagcha malai chai. Ramro sanga bichar garera matra yesto kadham uthaum hola.,0,people post thier illegally cross boarder journey publicly social medium frighten also pathetic afno jyan bhanda pyaro tiktok bharey tyo video haru ley afulai samsya nalyaos yesari post garna ley aru pani jhan influence hudai cha jasto lagcha malai chai ramro sanga bichar garera matra yesto kadham uthaum hola
1,"This guy breaks down the cases like nobody else.
MVP and the dark horse of Nepalese media. ",1,guy break case like nobody else mvp dark horse nepalese medium
2,"Man, this video gives goosebumps. Scary af. It is really really sad to see where our country has reached and how the citizens have to suffer this in the hope of better future.",1,man video give goosebump scary af really really sad see country reach citizen suffer hope good future
3,"There are so many facets to this journey. I have not discussed less used routes and other intricate details of the journey. I would have loved to go even deeper but I tried to explain the situation from a top down view and as an entry point to the whole crisis rather than a full on explanation. Special thanks to all those who contacted us, helped us, talked with us on Zoom meetings and social media. And if you have other facts that we have missed, feel free to add those. See you in the comments. ",1,many facet journey discuss less used route intricate detail journey would love go even deep try explain situation top view entry point whole crisis rather full explanation special thanks contact u help u talk u zoom meeting social medium fact miss feel free add see comment
4,"As a nepalese doing buisness in both portugal and Croatia, sadly its true these so called agents are non other than our nepalese brothers, if your working in croatia and have a good job you can apply for visas for countries like portugal Spain but we choose these shortcut paths, there have been countless deaths but it never comes out. thankyou brother for spreading out the news I hope this video brings for kind of awareness to people coming to europe
fortunately for dharamdas he's recovered well and is working in airport thanks to some good nepalese brothers out there.",1,nepalese buisness portugal croatia sadly true call agent non nepalese brother work croatia good job apply visas country like portugal spain choose shortcut path countless death never come thankyou brother spread news hope video bring kind awareness people come europe fortunately dharamdas he recover well work airport thanks good nepalese brother
5,"Idk much about USA  but While i was working in Australia Detention centre hv meet 3 nepalis  middle age bro who reached to Australian land via similar way. They used  to say spent about 15/20 lakhs.  Hearing their story was frightening. They came nepal to delhi , Delhi  to Bangkok,  Bangkok to Jakarta,  Jakarta to Christmas island in Australia.  Boat ride from  Indonesia to Australia is absolutely death cheat. Its not safe , its dangerous, even tho if u ever reach to Australia or any other nation u will not grant a asylum. Be sure my nepali bro/sis plz dont try this way. It doesnt worth at all. Its risk of ur life 9/10. Especially for nepali  peeps close to impossible to get asylum coz we dont hv civil war in Nepal.  We nepali are safe in our countries.   Any of you will find impossible to proof ur refuge.  Any country will not grant you refugees just because  you get there.  U will be turn back after many years of court battle thats for sure . Those  went druing Maoists war in nepal yes  that time we had chances of getting  refugee statue coz its was unsafe to deport you back but now things has changed, nepal is safe there is nothing to run away from nepali getting into western countries illegally except its economical immigrants. I worked closely with Border force in Australia so i can share more more informative  info to those who want to get illegally in any countries but i will always say plz dont do. Every countires main Goal is how to kick illegal immigrants out of country. So plz dont every try to this journey.",0,idk much usa work australia detention centre hv meet 3 nepali middle age bro reach australian land via similar way use say spent 1520 lakh hear story frightening come nepal delhi delhi bangkok bangkok jakarta jakarta christmas island australia boat ride indonesia australia absolutely death cheat safe dangerous even tho u ever reach australia nation u grant asylum sure nepali brosis plz dont try way doesnt worth risk ur life 910 especially nepali peep close impossible get asylum coz dont hv civil war nepal nepali safe country find impossible proof ur refuge country grant refugee get u turn back many year court battle thats sure go druing maoist war nepal yes time chance get refugee statue coz unsafe deport back thing change nepal safe nothing run away nepali get western country illegally except economical immigrant work closely border force australia share informative info want get illegally country always say plz dont every countires main goal kick illegal immigrant country plz dont every try journey
6,You are doing great brother. I personally am so proud of you The level of research and hardwork you have put in every video is amazing ,1,great brother personally proud level research hardwork put every video amaze
7,"Congratulations Dipesh, I admire your videos. Thank you for making meaningful vlogs. At least you are doing something good for Nepali people.You are potential to become Nepali's Dhruv Rathee, and leave behind all the mainstream Nepali TV Chanels. Most of them are compromised and corrupted.  Please keep working.",1,congratulation dipesh admire video thank make meaningful vlogs least something good nepali peopleyou potential become nepalis dhruv rathee leave behind mainstream nepali tv chanels compromise corrupted please keep working
8,"I have a similar incident of my own cousin. He went to study in Manchester, but couldn't focus on his study, his results were very poor so university didn't gave him letter or something like that. So, he escapes from UK went to Paris from there he took flight to Portugal and tear his passport. It's like 2 .5 years ago. Now he is living living life as hell. He cannot return to Nepal and working on minimum wages, still he doesn't get paid sometimes considering him as refugee or Indian origin by locals of Portugal. Nowadays it's a trend like students escaping from UK to European countries.",1,similar incident cousin go study manchester couldnt focus study result poor university didnt give letter something like escape uk go paris take flight portugal tear passport like 2 5 year ago live live life hell cannot return nepal work minimum wage still doesnt get pay sometimes consider refugee indian origin local portugal nowadays trend like student escape uk european country
9,"Dipesh Brother, you're doing really a great task, please don't fred up and continue further. I am sure that your hardwork is going to pay off really well and will contribute in revealing the 'secret' dark-facts that rare people knows.. And also congrats for 90K+ subs, good luck for 100K very soon :)",1,dipesh brother youre really great task please dont fred continue sure hardwork go pay really well contribute reveal secret darkfacts rare people know also congrats 90k sub good luck 100k soon
