,comments,sentiments,clean_comments
0,"Seeing this type of content gives me hope
Someday soon we ll be doing good as a country
Cheers  brother",1,see type content give hope someday soon good country cheer brother
1,this man's a gem.. this kind of video should reach each and everyone.,1,man gem kind video reach everyone
2,Politicians of Nepal are in the pockets of Indian lawmakers,0,politician nepal pocket indian lawmaker
3,we need these kinda informative videos. People tend to know all sorts of things about foreign countries but they don't really know what's happening in here. Kudos to the team,1,need kinda informative videos people tend know sort thing foreign country dont really know whats happen kudos team
4,I think this video gone be most important video for Nepalese️,1,think video go important video nepalese
5,One of the best Nepali youtuberand the way you describe every topic is just wow....and  this one is also such a great video for Nepali citizen,1,one best nepali youtuberand way describe every topic wowand one also great video nepali citizen
6,He never fails to deliver content man...So informative.,1,never fail deliver content manso informative
7,"The proper selection of the topic and explanation of it is just brilliant. Quality content creator, hats off bro ",1,proper selection topic explanation brilliant quality content creator hat bro
8,"Apart from all the research that has gone behind this video, the animation is simply * top notch!* Keep it going man.",1,apart research go behind video animation simply top notch keep go man
9,"Bro your research and hardwork for all these awesome videos deserves a lot of respect and recognition, hope you get more and more subscribers and viewers.",1,bro research hardwork awesome video deserve lot respect recognition hope get subscriber viewer
10,Hats off to your efforts on educating the Nepalese through your videos.,1,hat effort educate nepalese video
11,"whilst I don't always agree with your content, I must say that this is something I can stand by and something that all us voters must fight for! #electoralreform",1,whilst dont always agree content must say something stand something u voter must fight electoralreform
12,Thank you so much brother for providing such great content in every video.,1,thank much brother provide great content every video
13,I hope this video will reach to all the Nepalese  Great content and research ,1,hope video reach nepalese great content research
14,So sir how does it feel to carry whole Nepali YouTube community on your back?,1,sir feel carry whole nepali youtube community back
15,"This channel is amazing. Its like the nepalese Vox. The way the editing is done, along with the score in the background. It feels like watching a documentary in history channel. His videos on the Nepalese civil war has to be one of the best youtube series i have watched recently. Keep the videos coming . Best Wishes !!",1,channel amaze like nepalese vox way edit do along score background feel like watch documentary history channel video nepalese civil war one best youtube series watch recently keep video come best wish
16,very informative video! keep making more! appreciate your hardwork BTS !,1,informative video keep make appreciate hardwork bts
17,You should have made this longer and more in-depth. The audience demands it brother.,1,make longer indepth audience demand brother
18,"This is one quality content which  i  rarely can find and expect from nepali youtubers. Love u brother . keep on going, u deserve it",1,one quality content rarely find expect nepali youtubers love u brother keep go u deserve
19,"Believe me brother , this channel soon will touch the sky in terms of views.",1,believe brother channel soon touch sky term view
20,Animation is so good! I am just soaked in and can’t even pay attention to the words! ,1,animation good soak can t even pay attention word
21,very informative video brother. Your channel is getting better and better everyday. The topic u choose is educational. Keep going,1,informative video brother channel get good good everyday topic u choose educational keep go
22,thank you so much for all your dedication and hard work on research and educating us,1,thank much dedication hard work research educate u
23,This man need to get more views because videos like this educate everyone which is necessary,1,man need get view video like educate everyone necessary
24,"Your content quality, editing and research is one of the best in whole Youtube.",1,content quality edit research one best whole youtube
25,Too informative content ️...You need to rise more️and you deserve more!!,1,informative content you need rise more and deserve
26,"Very good content as always. And contemporary as well.
However, compared to your previous videos I found this one a little less organised and lacking a flow. May be I felt so because earlier videos were excellent in doing that. 
Keep up the good work.
Hope to see more content from you.",1,good content always contemporary well however compare previous video find one little less organised lacking flow may felt early video excellent keep good work hope see content
27,Thank you for this content .We Nepal has very fragile system of election process. Brother le afno face hide garna parne dekihinxa yaha nepal ma je panu huna sakxa ..Take care bro .Your well wisher,1,thank content nepal fragile system election process brother le afno face hide garna parne dekihinxa yaha nepal je panu huna sakxa take care bro well wisher
28,I like this guy videos he always makes the best content videos keep it up we needs this types of videos god bless you Brother,1,like guy video always make best content videos keep need type video god bless brother
29,Finally i can say someone is admirable and proper content creator keep going ️,1,finally say someone admirable proper content creator keep go
30,"The video is great as always,well-researched,keep going brother!!! And may i know what software you use for editing videos? The animations were top-notch.",1,video great alwayswellresearchedkeep go brother may know software use edit videos animation topnotch
31,"How deep the research is! Katti Naya Kura sikiyo. Law students lai euta efficient material pani hune vayo. 
Absolute respect to this human!",0,deep research katti naya kura sikiyo law student lai euta efficient material pani hune vayo absolute respect human
32,Appreciate your effort and consistency.. Such a pure content,1,appreciate effort consistency pure content
33,Hatss off to your research bro !! Appreciated.,1,hat research bro appreciate
34,Thank you for bringing new insights on the election.,1,thank bring new insight election
35,Now this channel has become my favorite ️,0,channel become favorite
